Description,Date,Location,Value
New admits to CTE so far,2014-08-31,Dalaba,
Total number of hospitalized cases in CTE,2014-08-31,Dalaba,
Total number of exits from CTE,2014-08-31,Dalaba,
Total number of admissions to CTE,2014-08-31,Dalaba,
New contacts registered so far,2014-08-31,Dalaba,
Total contacts registered from start date,2014-08-31,Dalaba,
Number of contacts to follow today,2014-08-31,Dalaba,
Number of contacts followed today,2014-08-31,Dalaba,
Number of contacts out of the track 21 days,2014-08-31,Dalaba,
Number of contacts lost to follow up,2014-08-31,Dalaba,
Number of samples collected today,2014-08-31,Dalaba,
Number of samples under test,2014-08-31,Dalaba,
Total samples tested,2014-08-31,Dalaba,
New cases of suspects,2014-08-31,Dinguiraye,
New cases of probables,2014-08-31,Dinguiraye,
New cases of confirmed,2014-08-31,Dinguiraye,
Total new cases registered so far,2014-08-31,Dinguiraye,0
Total cases of suspects,2014-08-31,Dinguiraye,0
Total cases of probables,2014-08-31,Dinguiraye,1
Total cases of confirmed,2014-08-31,Dinguiraye,0
Cumulative (confirmed + probable + suspects),2014-08-31,Dinguiraye,1
Total suspected non-class cases,2014-08-31,Dinguiraye,0
New deaths registered,2014-08-31,Dinguiraye,
Total deaths of suspects,2014-08-31,Dinguiraye,0
Total deaths of probables,2014-08-31,Dinguiraye,1
Total deaths of confirmed,2014-08-31,Dinguiraye,0
Total deaths (confirmed + probables + suspects),2014-08-31,Dinguiraye,1
Fatality rate for confirmed and probables,2014-08-31,Dinguiraye,100%
New cases of confirmed among health workers,2014-08-31,Dinguiraye,0
Total case of confirmed among health workers,2014-08-31,Dinguiraye,0
New deaths registered among health workers,2014-08-31,Dinguiraye,0
Total deaths registered among health workers,2014-08-31,Dinguiraye,0
New admits to CTE so far,2014-08-31,Dinguiraye,0
Total number of hospitalized cases in CTE,2014-08-31,Dinguiraye,0
Total number of exits from CTE,2014-08-31,Dinguiraye,0
Total number of admissions to CTE,2014-08-31,Dinguiraye,0
New contacts registered so far,2014-08-31,Dinguiraye,0
Total contacts registered from start date,2014-08-31,Dinguiraye,0
Number of contacts to follow today,2014-08-31,Dinguiraye,0
Number of contacts followed today,2014-08-31,Dinguiraye,0
Number of contacts out of the track 21 days,2014-08-31,Dinguiraye,0
Number of contacts lost to follow up,2014-08-31,Dinguiraye,0
Number of samples collected today,2014-08-31,Dinguiraye,
Number of samples under test,2014-08-31,Dinguiraye,
Total samples tested,2014-08-31,Dinguiraye,
New cases of suspects,2014-08-31,Dubreka,
New cases of probables,2014-08-31,Dubreka,
New cases of confirmed,2014-08-31,Dubreka,4
Total new cases registered so far,2014-08-31,Dubreka,4
Total cases of suspects,2014-08-31,Dubreka,3
Total cases of probables,2014-08-31,Dubreka,0
Total cases of confirmed,2014-08-31,Dubreka,18
Cumulative (confirmed + probable + suspects),2014-08-31,Dubreka,21
Total suspected non-class cases,2014-08-31,Dubreka,4
New deaths registered,2014-08-31,Dubreka,
Total deaths of suspects,2014-08-31,Dubreka,0
Total deaths of probables,2014-08-31,Dubreka,0
Total deaths of confirmed,2014-08-31,Dubreka,3
Total deaths (confirmed + probables + suspects),2014-08-31,Dubreka,3
Fatality rate for confirmed and probables,2014-08-31,Dubreka,14%
New cases of confirmed among health workers,2014-08-31,Dubreka,0
Total case of confirmed among health workers,2014-08-31,Dubreka,4
New deaths registered among health workers,2014-08-31,Dubreka,0
Total deaths registered among health workers,2014-08-31,Dubreka,0
New admits to CTE so far,2014-08-31,Dubreka,0
Total number of hospitalized cases in CTE,2014-08-31,Dubreka,0
Total number of exits from CTE,2014-08-31,Dubreka,0
Total number of admissions to CTE,2014-08-31,Dubreka,0
New contacts registered so far,2014-08-31,Dubreka,0
Total contacts registered from start date,2014-08-31,Dubreka,157
Number of contacts to follow today,2014-08-31,Dubreka,157
Number of contacts followed today,2014-08-31,Dubreka,154
Number of contacts out of the track 21 days,2014-08-31,Dubreka,0
Number of contacts lost to follow up,2014-08-31,Dubreka,3
Number of samples collected today,2014-08-31,Dubreka,
Number of samples under test,2014-08-31,Dubreka,
Total samples tested,2014-08-31,Dubreka,
New cases of suspects,2014-08-31,Forecariah,
New cases of probables,2014-08-31,Forecariah,
New cases of confirmed,2014-08-31,Forecariah,
Total new cases registered so far,2014-08-31,Forecariah,0
Total cases of suspects,2014-08-31,Forecariah,2
Total cases of probables,2014-08-31,Forecariah,0
Total cases of confirmed,2014-08-31,Forecariah,5
Cumulative (confirmed + probable + suspects),2014-08-31,Forecariah,7
Total suspected non-class cases,2014-08-31,Forecariah,7
New deaths registered,2014-08-31,Forecariah,
Total deaths of suspects,2014-08-31,Forecariah,0
Total deaths of probables,2014-08-31,Forecariah,0
Total deaths of confirmed,2014-08-31,Forecariah,3
Total deaths (confirmed + probables + suspects),2014-08-31,Forecariah,3
Fatality rate for confirmed and probables,2014-08-31,Forecariah,43%
New cases of confirmed among health workers,2014-08-31,Forecariah,0
Total case of confirmed among health workers,2014-08-31,Forecariah,0
New deaths registered among health workers,2014-08-31,Forecariah,0
Total deaths registered among health workers,2014-08-31,Forecariah,0
New admits to CTE so far,2014-08-31,Forecariah,0
Total number of hospitalized cases in CTE,2014-08-31,Forecariah,0
Total number of exits from CTE,2014-08-31,Forecariah,0
Total number of admissions to CTE,2014-08-31,Forecariah,0
New contacts registered so far,2014-08-31,Forecariah,0
Total contacts registered from start date,2014-08-31,Forecariah,0
Number of contacts to follow today,2014-08-31,Forecariah,0
Number of contacts followed today,2014-08-31,Forecariah,0
Number of contacts out of the track 21 days,2014-08-31,Forecariah,0
Number of contacts lost to follow up,2014-08-31,Forecariah,0
Number of samples collected today,2014-08-31,Forecariah,
Number of samples under test,2014-08-31,Forecariah,
Total samples tested,2014-08-31,Forecariah,
New cases of suspects,2014-08-31,Gueckedou,2
New cases of probables,2014-08-31,Gueckedou,8
New cases of confirmed,2014-08-31,Gueckedou,3
Total new cases registered so far,2014-08-31,Gueckedou,13
Total cases of suspects,2014-08-31,Gueckedou,5
Total cases of probables,2014-08-31,Gueckedou,110
Total cases of confirmed,2014-08-31,Gueckedou,214
Cumulative (confirmed + probable + suspects),2014-08-31,Gueckedou,329
Total suspected non-class cases,2014-08-31,Gueckedou,244
New deaths registered,2014-08-31,Gueckedou,
Total deaths of suspects,2014-08-31,Gueckedou,0
Total deaths of probables,2014-08-31,Gueckedou,110
Total deaths of confirmed,2014-08-31,Gueckedou,169
Total deaths (confirmed + probables + suspects),2014-08-31,Gueckedou,279
Fatality rate for confirmed and probables,2014-08-31,Gueckedou,85%
New cases of confirmed among health workers,2014-08-31,Gueckedou,0
Total case of confirmed among health workers,2014-08-31,Gueckedou,8
New deaths registered among health workers,2014-08-31,Gueckedou,0
Total deaths registered among health workers,2014-08-31,Gueckedou,6
New admits to CTE so far,2014-08-31,Gueckedou,17
Total number of hospitalized cases in CTE,2014-08-31,Gueckedou,64
Total number of exits from CTE,2014-08-31,Gueckedou,9
Total number of admissions to CTE,2014-08-31,Gueckedou,703
New contacts registered so far,2014-08-31,Gueckedou,0
Total contacts registered from start date,2014-08-31,Gueckedou,3418
Number of contacts to follow today,2014-08-31,Gueckedou,223
Number of contacts followed today,2014-08-31,Gueckedou,221
Number of contacts out of the track 21 days,2014-08-31,Gueckedou,3116
Number of contacts lost to follow up,2014-08-31,Gueckedou,0
Number of samples collected today,2014-08-31,Gueckedou,66
Number of samples under test,2014-08-31,Gueckedou,0
Total samples tested,2014-08-31,Gueckedou,1124
New cases of suspects,2014-08-31,Kerouane,
New cases of probables,2014-08-31,Kerouane,
New cases of confirmed,2014-08-31,Kerouane,
Total new cases registered so far,2014-08-31,Kerouane,
Total cases of suspects,2014-08-31,Kerouane,
Total cases of probables,2014-08-31,Kerouane,
Total cases of confirmed,2014-08-31,Kerouane,
Cumulative (confirmed + probable + suspects),2014-08-31,Kerouane,
Total suspected non-class cases,2014-08-31,Kerouane,
New deaths registered,2014-08-31,Kerouane,
Total deaths of suspects,2014-08-31,Kerouane,
Total deaths of probables,2014-08-31,Kerouane,
Total deaths of confirmed,2014-08-31,Kerouane,
Total deaths (confirmed + probables + suspects),2014-08-31,Kerouane,
Fatality rate for confirmed and probables,2014-08-31,Kerouane,
New cases of confirmed among health workers,2014-08-31,Kerouane,
Total case of confirmed among health workers,2014-08-31,Kerouane,
New deaths registered among health workers,2014-08-31,Kerouane,
Total deaths registered among health workers,2014-08-31,Kerouane,
New admits to CTE so far,2014-08-31,Kerouane,
Total number of hospitalized cases in CTE,2014-08-31,Kerouane,
Total number of exits from CTE,2014-08-31,Kerouane,
Total number of admissions to CTE,2014-08-31,Kerouane,
New contacts registered so far,2014-08-31,Kerouane,
Total contacts registered from start date,2014-08-31,Kerouane,
Number of contacts to follow today,2014-08-31,Kerouane,
Number of contacts followed today,2014-08-31,Kerouane,
Number of contacts out of the track 21 days,2014-08-31,Kerouane,
Number of contacts lost to follow up,2014-08-31,Kerouane,
Number of samples collected today,2014-08-31,Kerouane,
Number of samples under test,2014-08-31,Kerouane,
Total samples tested,2014-08-31,Kerouane,
New cases of suspects,2014-08-31,Kindia,
New cases of probables,2014-08-31,Kindia,
New cases of confirmed,2014-08-31,Kindia,
Total new cases registered so far,2014-08-31,Kindia,
Total cases of suspects,2014-08-31,Kindia,
Total cases of probables,2014-08-31,Kindia,
Total cases of confirmed,2014-08-31,Kindia,
Cumulative (confirmed + probable + suspects),2014-08-31,Kindia,
Total suspected non-class cases,2014-08-31,Kindia,
New deaths registered,2014-08-31,Kindia,
Total deaths of suspects,2014-08-31,Kindia,
Total deaths of probables,2014-08-31,Kindia,
Total deaths of confirmed,2014-08-31,Kindia,
Total deaths (confirmed + probables + suspects),2014-08-31,Kindia,
Fatality rate for confirmed and probables,2014-08-31,Kindia,
New cases of confirmed among health workers,2014-08-31,Kindia,
Total case of confirmed among health workers,2014-08-31,Kindia,
New deaths registered among health workers,2014-08-31,Kindia,
Total deaths registered among health workers,2014-08-31,Kindia,
New admits to CTE so far,2014-08-31,Kindia,
Total number of hospitalized cases in CTE,2014-08-31,Kindia,
Total number of exits from CTE,2014-08-31,Kindia,
Total number of admissions to CTE,2014-08-31,Kindia,
New contacts registered so far,2014-08-31,Kindia,
Total contacts registered from start date,2014-08-31,Kindia,
Number of contacts to follow today,2014-08-31,Kindia,
Number of contacts followed today,2014-08-31,Kindia,
Number of contacts out of the track 21 days,2014-08-31,Kindia,
Number of contacts lost to follow up,2014-08-31,Kindia,
Number of samples collected today,2014-08-31,Kindia,
Number of samples under test,2014-08-31,Kindia,
Total samples tested,2014-08-31,Kindia,
New cases of suspects,2014-08-31,Kissidougou,
New cases of probables,2014-08-31,Kissidougou,
New cases of confirmed,2014-08-31,Kissidougou,
Total new cases registered so far,2014-08-31,Kissidougou,0
Total cases of suspects,2014-08-31,Kissidougou,0
Total cases of probables,2014-08-31,Kissidougou,5
Total cases of confirmed,2014-08-31,Kissidougou,2
Cumulative (confirmed + probable + suspects),2014-08-31,Kissidougou,7
Total suspected non-class cases,2014-08-31,Kissidougou,7
New deaths registered,2014-08-31,Kissidougou,
Total deaths of suspects,2014-08-31,Kissidougou,0
Total deaths of probables,2014-08-31,Kissidougou,5
Total deaths of confirmed,2014-08-31,Kissidougou,1
Total deaths (confirmed + probables + suspects),2014-08-31,Kissidougou,6
Fatality rate for confirmed and probables,2014-08-31,Kissidougou,86%
New cases of confirmed among health workers,2014-08-31,Kissidougou,0
Total case of confirmed among health workers,2014-08-31,Kissidougou,0
New deaths registered among health workers,2014-08-31,Kissidougou,0
Total deaths registered among health workers,2014-08-31,Kissidougou,0
New admits to CTE so far,2014-08-31,Kissidougou,0
Total number of hospitalized cases in CTE,2014-08-31,Kissidougou,0
Total number of exits from CTE,2014-08-31,Kissidougou,0
Total number of admissions to CTE,2014-08-31,Kissidougou,0
New contacts registered so far,2014-08-31,Kissidougou,0
Total contacts registered from start date,2014-08-31,Kissidougou,159
Number of contacts to follow today,2014-08-31,Kissidougou,0
Number of contacts followed today,2014-08-31,Kissidougou,0
Number of contacts out of the track 21 days,2014-08-31,Kissidougou,159
Number of contacts lost to follow up,2014-08-31,Kissidougou,0
Number of samples collected today,2014-08-31,Kissidougou,
Number of samples under test,2014-08-31,Kissidougou,
Total samples tested,2014-08-31,Kissidougou,
New cases of suspects,2014-08-31,Kouroussa,
New cases of probables,2014-08-31,Kouroussa,
New cases of confirmed,2014-08-31,Kouroussa,
Total new cases registered so far,2014-08-31,Kouroussa,0
Total cases of suspects,2014-08-31,Kouroussa,0
Total cases of probables,2014-08-31,Kouroussa,2
Total cases of confirmed,2014-08-31,Kouroussa,2
Cumulative (confirmed + probable + suspects),2014-08-31,Kouroussa,4
Total suspected non-class cases,2014-08-31,Kouroussa,1
New deaths registered,2014-08-31,Kouroussa,
Total deaths of suspects,2014-08-31,Kouroussa,0
Total deaths of probables,2014-08-31,Kouroussa,2
Total deaths of confirmed,2014-08-31,Kouroussa,2
Total deaths (confirmed + probables + suspects),2014-08-31,Kouroussa,4
Fatality rate for confirmed and probables,2014-08-31,Kouroussa,100%
New cases of confirmed among health workers,2014-08-31,Kouroussa,0
Total case of confirmed among health workers,2014-08-31,Kouroussa,0
New deaths registered among health workers,2014-08-31,Kouroussa,0
Total deaths registered among health workers,2014-08-31,Kouroussa,0
New admits to CTE so far,2014-08-31,Kouroussa,0
Total number of hospitalized cases in CTE,2014-08-31,Kouroussa,0
Total number of exits from CTE,2014-08-31,Kouroussa,0
Total number of admissions to CTE,2014-08-31,Kouroussa,0
New contacts registered so far,2014-08-31,Kouroussa,0
Total contacts registered from start date,2014-08-31,Kouroussa,94
Number of contacts to follow today,2014-08-31,Kouroussa,48
Number of contacts followed today,2014-08-31,Kouroussa,48
Number of contacts out of the track 21 days,2014-08-31,Kouroussa,46
Number of contacts lost to follow up,2014-08-31,Kouroussa,0
Number of samples collected today,2014-08-31,Kouroussa,
Number of samples under test,2014-08-31,Kouroussa,
Total samples tested,2014-08-31,Kouroussa,
New cases of suspects,2014-08-31,Lola,
New cases of probables,2014-08-31,Lola,
