,Description,Date,Location,Value
189,Number of samples collected today,2014-08-31,Beyla,
190,Number of samples under test,2014-08-31,Beyla,
191,Total samples tested,2014-08-31,Beyla,
352,New cases of suspects,2014-08-31,Boffa,
353,New cases of probables,2014-08-31,Boffa,
354,New cases of confirmed,2014-08-31,Boffa,
355,Total new cases registered so far,2014-08-31,Boffa,0
356,Total cases of suspects,2014-08-31,Boffa,1
357,Total cases of probables,2014-08-31,Boffa,5
358,Total cases of confirmed,2014-08-31,Boffa,19
359,Cumulative (confirmed + probable + suspects),2014-08-31,Boffa,25
360,Total suspected non-class cases,2014-08-31,Boffa,19
361,New deaths registered,2014-08-31,Boffa,
362,Total deaths of suspects,2014-08-31,Boffa,0
363,Total deaths of probables,2014-08-31,Boffa,5
364,Total deaths of confirmed,2014-08-31,Boffa,11
365,Total deaths (confirmed + probables + suspects),2014-08-31,Boffa,16
366,Fatality rate for confirmed and probables,2014-08-31,Boffa,64%
367,New cases of confirmed among health workers,2014-08-31,Boffa,0
368,Total case of confirmed among health workers,2014-08-31,Boffa,0
369,New deaths registered among health workers,2014-08-31,Boffa,0
370,Total deaths registered among health workers,2014-08-31,Boffa,0
371,New admits to CTE so far,2014-08-31,Boffa,0
372,Total number of hospitalized cases in CTE,2014-08-31,Boffa,0
373,Total number of exits from CTE,2014-08-31,Boffa,0
374,Total number of admissions to CTE,2014-08-31,Boffa,0
375,New contacts registered so far,2014-08-31,Boffa,0
376,Total contacts registered from start date,2014-08-31,Boffa,397
377,Number of contacts to follow today,2014-08-31,Boffa,0
378,Number of contacts followed today,2014-08-31,Boffa,0
379,Number of contacts out of the track 21 days,2014-08-31,Boffa,397
380,Number of contacts lost to follow up,2014-08-31,Boffa,0
381,Number of samples collected today,2014-08-31,Boffa,
382,Number of samples under test,2014-08-31,Boffa,
383,Total samples tested,2014-08-31,Boffa,
544,New cases of suspects,2014-08-31,Conakry,1
545,New cases of probables,2014-08-31,Conakry,
546,New cases of confirmed,2014-08-31,Conakry,1
547,Total new cases registered so far,2014-08-31,Conakry,2
548,Total cases of suspects,2014-08-31,Conakry,10
549,Total cases of probables,2014-08-31,Conakry,8
550,Total cases of confirmed,2014-08-31,Conakry,110
551,Cumulative (confirmed + probable + suspects),2014-08-31,Conakry,128
552,Total suspected non-class cases,2014-08-31,Conakry,228
553,New deaths registered,2014-08-31,Conakry,
554,Total deaths of suspects,2014-08-31,Conakry,2
555,Total deaths of probables,2014-08-31,Conakry,8
556,Total deaths of confirmed,2014-08-31,Conakry,45
557,Total deaths (confirmed + probables + suspects),2014-08-31,Conakry,55
558,Fatality rate for confirmed and probables,2014-08-31,Conakry,43%
559,New cases of confirmed among health workers,2014-08-31,Conakry,0
560,Total case of confirmed among health workers,2014-08-31,Conakry,24
561,New deaths registered among health workers,2014-08-31,Conakry,0
562,Total deaths registered among health workers,2014-08-31,Conakry,11
563,New admits to CTE so far,2014-08-31,Conakry,9
564,Total number of hospitalized cases in CTE,2014-08-31,Conakry,35
565,Total number of exits from CTE,2014-08-31,Conakry,1
566,Total number of admissions to CTE,2014-08-31,Conakry,356
567,New contacts registered so far,2014-08-31,Conakry,0
568,Total contacts registered from start date,2014-08-31,Conakry,1986
569,Number of contacts to follow today,2014-08-31,Conakry,253
570,Number of contacts followed today,2014-08-31,Conakry,253
571,Number of contacts out of the track 21 days,2014-08-31,Conakry,1727
572,Number of contacts lost to follow up,2014-08-31,Conakry,0
573,Number of samples collected today,2014-08-31,Conakry,17
574,Number of samples under test,2014-08-31,Conakry,0
575,Total samples tested,2014-08-31,Conakry,817
736,New cases of suspects,2014-08-31,Coyah,
737,New cases of probables,2014-08-31,Coyah,
738,New cases of confirmed,2014-08-31,Coyah,
739,Total new cases registered so far,2014-08-31,Coyah,
740,Total cases of suspects,2014-08-31,Coyah,
741,Total cases of probables,2014-08-31,Coyah,
742,Total cases of confirmed,2014-08-31,Coyah,
743,Cumulative (confirmed + probable + suspects),2014-08-31,Coyah,
744,Total suspected non-class cases,2014-08-31,Coyah,
745,New deaths registered,2014-08-31,Coyah,
746,Total deaths of suspects,2014-08-31,Coyah,
747,Total deaths of probables,2014-08-31,Coyah,
748,Total deaths of confirmed,2014-08-31,Coyah,
749,Total deaths (confirmed + probables + suspects),2014-08-31,Coyah,
750,Fatality rate for confirmed and probables,2014-08-31,Coyah,
751,New cases of confirmed among health workers,2014-08-31,Coyah,
752,Total case of confirmed among health workers,2014-08-31,Coyah,
753,New deaths registered among health workers,2014-08-31,Coyah,
754,Total deaths registered among health workers,2014-08-31,Coyah,
755,New admits to CTE so far,2014-08-31,Coyah,
756,Total number of hospitalized cases in CTE,2014-08-31,Coyah,
757,Total number of exits from CTE,2014-08-31,Coyah,
758,Total number of admissions to CTE,2014-08-31,Coyah,
759,New contacts registered so far,2014-08-31,Coyah,
760,Total contacts registered from start date,2014-08-31,Coyah,
761,Number of contacts to follow today,2014-08-31,Coyah,
762,Number of contacts followed today,2014-08-31,Coyah,
763,Number of contacts out of the track 21 days,2014-08-31,Coyah,
764,Number of contacts lost to follow up,2014-08-31,Coyah,
765,Number of samples collected today,2014-08-31,Coyah,
766,Number of samples under test,2014-08-31,Coyah,
767,Total samples tested,2014-08-31,Coyah,
928,New cases of suspects,2014-08-31,Dabola,
929,New cases of probables,2014-08-31,Dabola,
930,New cases of confirmed,2014-08-31,Dabola,
931,Total new cases registered so far,2014-08-31,Dabola,0
932,Total cases of suspects,2014-08-31,Dabola,0
933,Total cases of probables,2014-08-31,Dabola,3
934,Total cases of confirmed,2014-08-31,Dabola,1
935,Cumulative (confirmed + probable + suspects),2014-08-31,Dabola,4
936,Total suspected non-class cases,2014-08-31,Dabola,1
937,New deaths registered,2014-08-31,Dabola,
938,Total deaths of suspects,2014-08-31,Dabola,0
939,Total deaths of probables,2014-08-31,Dabola,3
940,Total deaths of confirmed,2014-08-31,Dabola,1
941,Total deaths (confirmed + probables + suspects),2014-08-31,Dabola,4
942,Fatality rate for confirmed and probables,2014-08-31,Dabola,100%
943,New cases of confirmed among health workers,2014-08-31,Dabola,0
944,Total case of confirmed among health workers,2014-08-31,Dabola,0
945,New deaths registered among health workers,2014-08-31,Dabola,0
946,Total deaths registered among health workers,2014-08-31,Dabola,0
947,New admits to CTE so far,2014-08-31,Dabola,0
948,Total number of hospitalized cases in CTE,2014-08-31,Dabola,0
949,Total number of exits from CTE,2014-08-31,Dabola,0
950,Total number of admissions to CTE,2014-08-31,Dabola,0
951,New contacts registered so far,2014-08-31,Dabola,0
952,Total contacts registered from start date,2014-08-31,Dabola,69
953,Number of contacts to follow today,2014-08-31,Dabola,0
954,Number of contacts followed today,2014-08-31,Dabola,0
955,Number of contacts out of the track 21 days,2014-08-31,Dabola,69
956,Number of contacts lost to follow up,2014-08-31,Dabola,0
957,Number of samples collected today,2014-08-31,Dabola,
958,Number of samples under test,2014-08-31,Dabola,
959,Total samples tested,2014-08-31,Dabola,
1120,New cases of suspects,2014-08-31,Dalaba,
1121,New cases of probables,2014-08-31,Dalaba,
1122,New cases of confirmed,2014-08-31,Dalaba,
1123,Total new cases registered so far,2014-08-31,Dalaba,
1124,Total cases of suspects,2014-08-31,Dalaba,
1125,Total cases of probables,2014-08-31,Dalaba,
1126,Total cases of confirmed,2014-08-31,Dalaba,
1127,Cumulative (confirmed + probable + suspects),2014-08-31,Dalaba,
1128,Total suspected non-class cases,2014-08-31,Dalaba,
1129,New deaths registered,2014-08-31,Dalaba,
1130,Total deaths of suspects,2014-08-31,Dalaba,
1131,Total deaths of probables,2014-08-31,Dalaba,
1132,Total deaths of confirmed,2014-08-31,Dalaba,
1133,Total deaths (confirmed + probables + suspects),2014-08-31,Dalaba,
1134,Fatality rate for confirmed and probables,2014-08-31,Dalaba,
1135,New cases of confirmed among health workers,2014-08-31,Dalaba,
1136,Total case of confirmed among health workers,2014-08-31,Dalaba,
1137,New deaths registered among health workers,2014-08-31,Dalaba,
1138,Total deaths registered among health workers,2014-08-31,Dalaba,
1139,New admits to CTE so far,2014-08-31,Dalaba,
1140,Total number of hospitalized cases in CTE,2014-08-31,Dalaba,
1141,Total number of exits from CTE,2014-08-31,Dalaba,
1142,Total number of admissions to CTE,2014-08-31,Dalaba,
1143,New contacts registered so far,2014-08-31,Dalaba,
1144,Total contacts registered from start date,2014-08-31,Dalaba,
1145,Number of contacts to follow today,2014-08-31,Dalaba,
1146,Number of contacts followed today,2014-08-31,Dalaba,
1147,Number of contacts out of the track 21 days,2014-08-31,Dalaba,
1148,Number of contacts lost to follow up,2014-08-31,Dalaba,
1149,Number of samples collected today,2014-08-31,Dalaba,
1150,Number of samples under test,2014-08-31,Dalaba,
1151,Total samples tested,2014-08-31,Dalaba,
1312,New cases of suspects,2014-08-31,Dinguiraye,
1313,New cases of probables,2014-08-31,Dinguiraye,
1314,New cases of confirmed,2014-08-31,Dinguiraye,
1315,Total new cases registered so far,2014-08-31,Dinguiraye,0
1316,Total cases of suspects,2014-08-31,Dinguiraye,0
1317,Total cases of probables,2014-08-31,Dinguiraye,1
1318,Total cases of confirmed,2014-08-31,Dinguiraye,0
1319,Cumulative (confirmed + probable + suspects),2014-08-31,Dinguiraye,1
1320,Total suspected non-class cases,2014-08-31,Dinguiraye,0
1321,New deaths registered,2014-08-31,Dinguiraye,
1322,Total deaths of suspects,2014-08-31,Dinguiraye,0
1323,Total deaths of probables,2014-08-31,Dinguiraye,1
1324,Total deaths of confirmed,2014-08-31,Dinguiraye,0
1325,Total deaths (confirmed + probables + suspects),2014-08-31,Dinguiraye,1
1326,Fatality rate for confirmed and probables,2014-08-31,Dinguiraye,100%
1327,New cases of confirmed among health workers,2014-08-31,Dinguiraye,0
1328,Total case of confirmed among health workers,2014-08-31,Dinguiraye,0
1329,New deaths registered among health workers,2014-08-31,Dinguiraye,0
1330,Total deaths registered among health workers,2014-08-31,Dinguiraye,0
1331,New admits to CTE so far,2014-08-31,Dinguiraye,0
1332,Total number of hospitalized cases in CTE,2014-08-31,Dinguiraye,0
1333,Total number of exits from CTE,2014-08-31,Dinguiraye,0
1334,Total number of admissions to CTE,2014-08-31,Dinguiraye,0
1335,New contacts registered so far,2014-08-31,Dinguiraye,0
1336,Total contacts registered from start date,2014-08-31,Dinguiraye,0
1337,Number of contacts to follow today,2014-08-31,Dinguiraye,0
1338,Number of contacts followed today,2014-08-31,Dinguiraye,0
1339,Number of contacts out of the track 21 days,2014-08-31,Dinguiraye,0
1340,Number of contacts lost to follow up,2014-08-31,Dinguiraye,0
1341,Number of samples collected today,2014-08-31,Dinguiraye,
1342,Number of samples under test,2014-08-31,Dinguiraye,
1343,Total samples tested,2014-08-31,Dinguiraye,
1504,New cases of suspects,2014-08-31,Dubreka,
1505,New cases of probables,2014-08-31,Dubreka,
1506,New cases of confirmed,2014-08-31,Dubreka,4
1507,Total new cases registered so far,2014-08-31,Dubreka,4
1508,Total cases of suspects,2014-08-31,Dubreka,3
1509,Total cases of probables,2014-08-31,Dubreka,0
1510,Total cases of confirmed,2014-08-31,Dubreka,18
1511,Cumulative (confirmed + probable + suspects),2014-08-31,Dubreka,21
1512,Total suspected non-class cases,2014-08-31,Dubreka,4
1513,New deaths registered,2014-08-31,Dubreka,
1514,Total deaths of suspects,2014-08-31,Dubreka,0
1515,Total deaths of probables,2014-08-31,Dubreka,0
1516,Total deaths of confirmed,2014-08-31,Dubreka,3
1517,Total deaths (confirmed + probables + suspects),2014-08-31,Dubreka,3
1518,Fatality rate for confirmed and probables,2014-08-31,Dubreka,14%
1519,New cases of confirmed among health workers,2014-08-31,Dubreka,0
1520,Total case of confirmed among health workers,2014-08-31,Dubreka,4
1521,New deaths registered among health workers,2014-08-31,Dubreka,0
1522,Total deaths registered among health workers,2014-08-31,Dubreka,0
1523,New admits to CTE so far,2014-08-31,Dubreka,0
1524,Total number of hospitalized cases in CTE,2014-08-31,Dubreka,0
1525,Total number of exits from CTE,2014-08-31,Dubreka,0
1526,Total number of admissions to CTE,2014-08-31,Dubreka,0
1527,New contacts registered so far,2014-08-31,Dubreka,0
1528,Total contacts registered from start date,2014-08-31,Dubreka,157
1529,Number of contacts to follow today,2014-08-31,Dubreka,157
1530,Number of contacts followed today,2014-08-31,Dubreka,154
1531,Number of contacts out of the track 21 days,2014-08-31,Dubreka,0
1532,Number of contacts lost to follow up,2014-08-31,Dubreka,3
1533,Number of samples collected today,2014-08-31,Dubreka,
1534,Number of samples under test,2014-08-31,Dubreka,
1535,Total samples tested,2014-08-31,Dubreka,
1696,New cases of suspects,2014-08-31,Forecariah,
1697,New cases of probables,2014-08-31,Forecariah,
1698,New cases of confirmed,2014-08-31,Forecariah,
1699,Total new cases registered so far,2014-08-31,Forecariah,0
1700,Total cases of suspects,2014-08-31,Forecariah,2
1701,Total cases of probables,2014-08-31,Forecariah,0
1702,Total cases of confirmed,2014-08-31,Forecariah,5
1703,Cumulative (confirmed + probable + suspects),2014-08-31,Forecariah,7
1704,Total suspected non-class cases,2014-08-31,Forecariah,7
1705,New deaths registered,2014-08-31,Forecariah,
1706,Total deaths of suspects,2014-08-31,Forecariah,0
1707,Total deaths of probables,2014-08-31,Forecariah,0
1708,Total deaths of confirmed,2014-08-31,Forecariah,3
1709,Total deaths (confirmed + probables + suspects),2014-08-31,Forecariah,3
1710,Fatality rate for confirmed and probables,2014-08-31,Forecariah,43%
1711,New cases of confirmed among health workers,2014-08-31,Forecariah,0
1712,Total case of confirmed among health workers,2014-08-31,Forecariah,0
1713,New deaths registered among health workers,2014-08-31,Forecariah,0
1714,Total deaths registered among health workers,2014-08-31,Forecariah,0
1715,New admits to CTE so far,2014-08-31,Forecariah,0
1716,Total number of hospitalized cases in CTE,2014-08-31,Forecariah,0
1717,Total number of exits from CTE,2014-08-31,Forecariah,0
1718,Total number of admissions to CTE,2014-08-31,Forecariah,0
1719,New contacts registered so far,2014-08-31,Forecariah,0
1720,Total contacts registered from start date,2014-08-31,Forecariah,0
1721,Number of contacts to follow today,2014-08-31,Forecariah,0
1722,Number of contacts followed today,2014-08-31,Forecariah,0
1723,Number of contacts out of the track 21 days,2014-08-31,Forecariah,0
1724,Number of contacts lost to follow up,2014-08-31,Forecariah,0
1725,Number of samples collected today,2014-08-31,Forecariah,
1726,Number of samples under test,2014-08-31,Forecariah,
1727,Total samples tested,2014-08-31,Forecariah,
1888,New cases of suspects,2014-08-31,Gueckedou,2
1889,New cases of probables,2014-08-31,Gueckedou,8
1890,New cases of confirmed,2014-08-31,Gueckedou,3
1891,Total new cases registered so far,2014-08-31,Gueckedou,13
1892,Total cases of suspects,2014-08-31,Gueckedou,5
1893,Total cases of probables,2014-08-31,Gueckedou,110
1894,Total cases of confirmed,2014-08-31,Gueckedou,214
1895,Cumulative (confirmed + probable + suspects),2014-08-31,Gueckedou,329
1896,Total suspected non-class cases,2014-08-31,Gueckedou,244
