Variable,Date,Bomi County,,Grand Gedeh,Grand Bassa,Bong County,Grand Kru,Montserrado County,Gbarpolu County,National,Nimba County,Sinoe County,River Gee County,Lofa County,Maryland County,Grand Cape Mount,RiverCess County,Margibi County
Total probable cases,09/26/2014,45,,0,41,68,7,576,0,1626,133,0,4,439,5,5,3,300
Total confirmed cases,09/26/2014,33,,0,47,66,6,352,0,917,77,4,2,281,0,6,4,39
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,09/27/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,09/27/2014,,,,,,,,,,,,,,,,,
Total specimens tested,09/27/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,09/27/2014,0,,0,0,2,0,3,0,8,1,0,0,1,0,0,0,1
Total death/s in confirmed cases,09/27/2014,29,,0,17,14,5,528,0,883,49,2,0,190,0,6,3,40
Total death/s in probable cases,09/27/2014,33,,0,9,21,4,188,0,660,71,0,0,199,5,3,3,124
Total death/s in suspected cases,09/27/2014,4,,2,7,72,1,211,0,440,14,0,6,38,3,5,2,75
"Total death/s in confirmed, probable, suspected cases",09/27/2014,66,,2,33,107,10,927,0,1983,134,2,6,427,8,14,8,239
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/27/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,09/27/2014,0,,0,0,0,0,96,0,121,0,5,0,0,0,0,0,20
Total contacts listed,09/27/2014,549,,20,263,767,38,7634,0,13037,840,58,19,664,6,80,91,2008
Currently under follow-up,09/27/2014,441,,20,161,170,7,3045,0,6625,471,58,4,317,6,77,44,1804
Contacts seen,09/27/2014,440,,0,161,170,0,3035,0,6299,471,0,0,317,0,0,0,1705
Contacts who completed 21 day follow-up,09/27/2014,0,,0,0,0,0,148,0,247,3,0,0,0,0,0,0,96
Contacts lost to follow-up,09/27/2014,0,,0,0,0,0,5,0,19,0,0,0,0,0,0,0,14
New admissions,09/27/2014,,,,,,,,,,,,,,,,,
Total no. currently in Treatment Units,09/27/2014,,,,,,,,,,,,,,,,,
Total discharges,09/27/2014,,,,,,,,,,,,,,,,,
Cumulative admission/isolation,09/27/2014,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,09/27/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative cases among HCW,09/27/2014,6,,0,3,26,0,74,0,183,8,0,0,21,0,3,0,42
Newly Reported deaths in HCW,09/27/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,09/27/2014,5,,0,1,7,0,33,0,92,8,0,0,18,0,0,0,20
New Case/s (Suspected),09/27/2014,0,,0,0,2,0,13,0,19,0,1,0,0,0,0,0,3
New Case/s (Probable),09/27/2014,0,,0,0,0,0,9,0,16,0,0,0,1,0,0,0,6
New case/s (confirmed),09/27/2014,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
Total suspected cases,09/27/2014,7,,3,31,184,3,479,1,1103,33,6,11,57,3,6,3,276
Total probable cases,09/27/2014,45,,0,41,68,7,585,0,1642,133,0,4,440,5,5,3,306
Total confirmed cases,09/27/2014,33,,0,47,66,6,354,0,919,77,4,2,281,0,6,4,39
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/27/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,09/27/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/28/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,9/28/2014,,,,,,,,,,,,,,,,,
Total specimens tested,9/28/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,9/28/2014,0,,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2
Total death/s in confirmed cases,9/28/2014,29,,0,17,14,5,528,0,884,49,2,0,191,0,6,3,40
Total death/s in probable cases,9/28/2014,33,,0,9,21,4,188,0,662,71,0,0,200,5,3,3,125
Total death/s in suspected cases,9/28/2014,4,,2,7,72,1,211,0,441,14,0,6,38,3,5,2,76
"Total death/s in confirmed, probable, suspected cases",9/28/2014,66,,2,33,107,10,927,0,1987,134,2,6,429,8,14,8,241
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/28/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/28/2014,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Total contacts listed,9/28/2014,549,,20,263,767,38,7634,0,13038,840,58,19,664,6,80,91,2009
Currently under follow-up,9/28/2014,441,,20,161,170,7,3045,0,6626,471,58,4,317,6,77,44,1805
Contacts seen,9/28/2014,0,,0,0,0,0,3035,0,4741,0,0,0,0,0,0,0,1706
Contacts who completed 21 day follow-up,9/28/2014,0,,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0
Contacts lost to follow-up,9/28/2014,0,,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14
New admissions,9/28/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total no. currently in Treatment Units,9/28/2014,0,,0,0,0,0,0,0,7,0,1,0,6,0,0,0,0
Total discharges,9/28/2014,0,,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0
Cumulative admission/isolation,9/28/2014,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,9/28/2014,,,,,,,,,,,,,,,,,
Cumulative cases among HCW,9/28/2014,6,,0,3,26,0,74,0,184,8,0,0,22,0,3,0,42
Newly Reported deaths in HCW,9/28/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/28/2014,5,,0,1,7,0,33,0,92,8,0,0,18,0,0,0,20
New Case/s (Suspected),9/28/2014,0,,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0
New Case/s (Probable),9/28/2014,0,,0,0,0,0,8,0,12,0,0,0,3,0,0,0,1
New case/s (confirmed),9/28/2014,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
Total suspected cases,9/28/2014,7,,3,31,184,3,489,1,1113,33,6,11,57,3,6,3,276
Total probable cases,9/28/2014,45,,0,41,68,7,593,0,1654,133,0,4,443,5,5,3,307
Total confirmed cases,9/28/2014,33,,0,47,66,6,356,0,921,77,4,2,281,0,6,4,39
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/28/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/28/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,9/30/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,9/30/2014,,,,,,,,,,,,,,,,,
Total specimens tested,9/30/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,9/30/2014,2,,0,0,2,0,28,0,32,0,0,0,0,0,0,0,0
Total death/s in confirmed cases,9/30/2014,30,,0,17,14,5,570,0,928,49,2,0,191,0,6,3,41
Total death/s in probable cases,9/30/2014,33,,0,9,21,4,198,0,675,72,0,0,202,5,3,3,125
Total death/s in suspected cases,9/30/2014,5,,2,7,79,2,213,0,455,14,0,6,38,3,5,2,79
"Total death/s in confirmed, probable, suspected cases",9/30/2014,68,,2,33,114,11,981,0,2058,135,2,6,431,8,14,8,245
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/30/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/30/2014,0,,0,54,11,0,229,0,294,0,0,0,0,0,0,0,0
Total contacts listed,9/30/2014,542,,20,317,840,38,8007,0,13597,840,63,19,699,6,80,91,2035
Currently under follow-up,9/30/2014,441,,20,215,233,7,3195,0,6886,451,63,4,325,6,77,44,1805
Contacts seen,9/30/2014,440,,0,215,233,0,3139,0,4027,0,0,0,0,0,0,0,0
Contacts who completed 21 day follow-up,9/30/2014,101,,0,0,20,0,137,0,258,0,0,0,0,0,0,0,0
Contacts lost to follow-up,9/30/2014,2,,0,0,0,0,3,0,19,0,0,0,0,0,0,0,14
New admissions,9/30/2014,0,,0,1,0,0,51,0,52,0,1,0,0,0,0,0,0
Total no. currently in Treatment Units,9/30/2014,10,,0,9,20,0,440,0,481,0,2,0,0,0,0,0,0
Total discharges,9/30/2014,7,,0,0,10,0,19,0,36,0,0,0,0,0,0,0,0
Cumulative admission/isolation,9/30/2014,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,9/30/2014,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Cumulative cases among HCW,9/30/2014,6,,0,3,26,0,75,0,186,9,0,0,22,0,3,0,42
Newly Reported deaths in HCW,9/30/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,9/30/2014,5,,0,1,7,0,33,0,92,8,0,0,18,0,0,0,20
New Case/s (Suspected),9/30/2014,0,,0,3,7,0,23,0,33,0,0,0,0,0,0,0,0
New Case/s (Probable),9/30/2014,2,,0,1,0,0,10,0,14,0,1,0,0,0,0,0,0
New case/s (confirmed),9/30/2014,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Total suspected cases,9/30/2014,7,,3,34,201,4,537,1,1190,34,6,12,57,3,6,3,282
Total probable cases,9/30/2014,47,,0,42,68,8,630,0,1711,133,1,4,449,5,5,3,316
Total confirmed cases,9/30/2014,33,,0,47,67,6,356,0,925,77,4,2,284,0,6,4,39
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/30/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,9/30/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,10/1/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,10/1/2014,,,,,,,,,,,,,,,,,
Total specimens tested,10/1/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,10/1/2014,0,,0,4,0,2,16,0,22,0,0,0,0,0,0,0,0
Total death/s in confirmed cases,10/1/2014,30,,0,21,14,5,581,0,943,49,2,0,191,0,6,3,41
Total death/s in probable cases,10/1/2014,33,,0,9,21,4,203,0,681,72,0,0,202,5,3,3,126
Total death/s in suspected cases,10/1/2014,5,,2,7,79,4,213,0,458,14,0,6,38,3,5,2,80
"Total death/s in confirmed, probable, suspected cases",10/1/2014,68,,2,37,114,13,997,0,2082,135,2,6,431,8,14,8,247
Case Fatality Rate (CFR) - Confirmed & Probable Cases,10/1/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,10/1/2014,96,,0,5,11,0,108,0,220,0,0,0,0,0,0,0,0
Total contacts listed,10/1/2014,638,,20,322,851,38,8115,0,14481,840,78,19,699,6,80,91,2684
Currently under follow-up,10/1/2014,449,,20,220,217,7,2997,0,6670,451,78,4,325,6,77,44,1775
Contacts seen,10/1/2014,447,,0,220,217,0,2922,0,3806,0,0,0,0,0,0,0,0
Contacts who completed 21 day follow-up,10/1/2014,189,,0,0,14,0,282,0,522,0,0,0,0,0,0,0,37
Contacts lost to follow-up,10/1/2014,2,,0,0,0,0,4,0,21,0,0,0,0,0,0,0,15
New admissions,10/1/2014,0,,0,1,0,0,54,0,55,0,0,0,0,0,0,0,0
Total no. currently in Treatment Units,10/1/2014,6,,0,9,20,0,385,0,421,0,1,0,0,0,0,0,0
Total discharges,10/1/2014,4,,0,0,2,0,86,0,93,0,1,0,0,0,0,0,0
Cumulative admission/isolation,10/1/2014,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,10/1/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative cases among HCW,10/1/2014,6,,0,3,26,0,75,0,186,9,0,0,22,0,3,0,42
Newly Reported deaths in HCW,10/1/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,10/1/2014,5,,0,1,7,0,33,0,92,8,0,0,18,0,0,0,20
New Case/s (Suspected),10/1/2014,0,,0,1,4,2,17,0,24,0,0,0,0,0,0,0,0
New Case/s (Probable),10/1/2014,0,,0,0,4,0,18,0,0,1,0,0,0,0,0,0,0
New case/s (confirmed),10/1/2014,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Total suspected cases,10/1/2014,7,,3,38,205,6,554,1,1219,34,6,12,57,3,6,3,284
Total probable cases,10/1/2014,47,,0,43,72,8,648,0,1745,134,1,4,449,5,5,3,326
Total confirmed cases,10/1/2014,33,,0,47,68,6,356,0,926,77,4,2,284,0,6,4,39
Total Number of Confirmed Cases of Sierra Leonean Nationality,10/1/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,10/1/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,10/3/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,10/3/2014,,,,,,,,,,,,,,,,,
Total specimens tested,10/3/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,10/3/2014,0,,0,0,4,0,27,0,38,1,0,0,3,,0,0,3
Total death/s in confirmed cases,10/3/2014,30,,0,21,14,5,630,0,992,49,2,0,191,0,6,3,41
Total death/s in probable cases,10/3/2014,33,,0,9,21,4,209,0,693,73,0,0,205,5,3,3,128
Total death/s in suspected cases,10/3/2014,5,,2,7,83,4,217,0,469,15,0,6,38,4,5,2,81
"Total death/s in confirmed, probable, suspected cases",10/3/2014,68,,2,37,118,13,1056,0,2154,137,2,6,434,9,14,8,250
Case Fatality Rate (CFR) - Confirmed & Probable Cases,10/3/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,10/3/2014,0,,0,0,14,0,171,0,276,0,0,0,11,0,0,0,80
Total contacts listed,10/3/2014,638,,20,326,865,38,8376,0,15042,840,78,26,710,6,180,91,2848
Currently under follow-up,10/3/2014,449,,20,225,228,7,2878,0,6697,451,63,7,333,6,180,44,1806
Contacts seen,10/3/2014,0,,0,0,228,0,2864,0,3605,0,0,0,333,0,180,0,0
Contacts who completed 21 day follow-up,10/3/2014,0,,0,0,0,0,142,0,155,0,0,0,12,0,1,0,0
Contacts lost to follow-up,10/3/2014,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
New admissions,10/3/2014,0,,0,0,0,0,85,0,86,0,0,0,1,0,0,0,0
Total no. currently in Treatment Units,10/3/2014,0,,0,9,32,0,425,0,478,0,2,0,9,0,0,1,0
Total discharges,10/3/2014,0,,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0
Cumulative admission/isolation,10/3/2014,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,10/3/2014,0,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Cumulative cases among HCW,10/3/2014,6,,0,3,26,0,75,0,189,10,0,1,23,0,3,0,42
Newly Reported deaths in HCW,10/3/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,10/3/2014,5,,0,1,7,0,33,0,92,8,0,0,18,0,0,0,20
New Case/s (Suspected),10/3/2014,0,,0,0,0,0,28,0,29,0,0,0,0,0,0,0,1
New Case/s (Probable),10/3/2014,0,,0,0,0,0,13,0,27,0,0,0,1,0,1,0,12
New case/s (confirmed),10/3/2014,0,,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0
Total suspected cases,10/3/2014,7,,3,38,217,6,588,1,1167,34,7,12,57,3,6,3,185
Total probable cases,10/3/2014,47,,0,45,72,8,667,0,1782,134,3,4,450,5,6,3,338
Total confirmed cases,10/3/2014,33,,0,47,68,6,358,0,930,77,4,3,285,0,6,4,39
Total Number of Confirmed Cases of Sierra Leonean Nationality,10/3/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,10/3/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,10/5/14,,,,,,,,,,,,,,,,,
Specimens pending for testing,10/5/14,,,,,,,,,,,,,,,,,
Total specimens tested,10/5/14,,,,,,,,,,,,,,,,,
Newly reported deaths,10/5/14,0,,0,0,0,0,16,0,21,0,0,0,0,,1,0,4
Total death/s in confirmed cases,10/5/14,30,,0,21,16,5,661,0,1026,49,2,0,192,0,6,3,41
Total death/s in probable cases,10/5/14,33,,0,9,21,4,213,0,703,73,0,0,207,5,5,3,130
Total death/s in suspected cases,10/5/14,5,,2,7,94,4,223,0,491,15,0,6,38,4,8,2,83
"Total death/s in confirmed, probable, suspected cases",10/5/14,68,,2,37,131,13,1097,0,2220,137,2,6,437,9,19,8,254
Case Fatality Rate (CFR) - Confirmed & Probable Cases,10/5/14,,,,,,,,,,,,,,,,,
Newly reported contacts,10/5/14,0,,0,0,0,0,62,0,75,0,0,0,0,0,0,0,13
Total contacts listed,10/5/14,638,,20,326,873,38,8637,0,15346,840,78,26,710,6,180,113,2861
Currently under follow-up,10/5/14,449,,20,225,217,7,3114,0,6957,451,63,7,333,6,180,66,1819
Contacts seen,10/5/14,0,,0,0,217,0,3093,0,3376,0,0,0,0,0,0,66,0
Contacts who completed 21 day follow-up,10/5/14,0,,0,0,22,0,23,0,91,4,0,4,0,0,1,47,0
Contacts lost to follow-up,10/5/14,0,,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0
New admissions,10/5/14,0,,0,0,0,0,48,0,51,0,0,0,3,0,0,0,0
Total no. currently in Treatment Units,10/5/14,0,,0,9,22,0,386,0,432,0,2,0,12,0,0,1,0
Total discharges,10/5/14,0,,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0
Cumulative admission/isolation,10/5/14,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,10/5/14,0,,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
Cumulative cases among HCW,10/5/14,6,,0,3,26,0,80,0,194,10,0,1,23,0,3,0,42
Newly Reported deaths in HCW,10/5/14,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,10/5/14,5,,0,1,7,0,33,0,92,8,0,0,18,0,0,0,20
New Case/s (Suspected),10/5/14,0,,0,0,0,0,10,0,12,0,0,0,0,0,0,0,2
New Case/s (Probable),10/5/14,0,,0,0,0,0,3,0,16,0,0,0,3,0,1,0,9
New case/s (confirmed),10/5/14,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total suspected cases,10/5/14,7,,3,38,226,6,610,1,1202,34,7,12,57,3,8,3,187
Total probable cases,10/5/14,47,,0,45,73,8,680,0,1812,134,3,4,454,5,9,3,347
Total confirmed cases,10/5/14,33,,0,47,70,6,358,0,935,78,6,3,285,0,6,4,39
Total Number of Confirmed Cases of Sierra Leonean Nationality,10/5/14,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,10/5/14,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,10/7/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,10/7/2014,,,,,,,,,,,,,,,,,
Total specimens tested,10/7/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,10/7/2014,0,,0,2,3,1,21,1,31,0,0,0,0,0,0,0,3
Total death/s in confirmed cases,10/7/2014,30,,0,21,16,5,700,1,1066,49,2,0,192,0,6,3,41
Total death/s in probable cases,10/7/2014,34,,0,10,24,5,223,0,723,73,0,0,207,5,5,3,134
Total death/s in suspected cases,10/7/2014,5,,2,8,108,7,227,0,516,15,0,6,39,4,9,2,84
"Total death/s in confirmed, probable, suspected cases",10/7/2014,69,,2,39,148,17,1150,1,2305,137,2,6,438,9,20,8,259
Case Fatality Rate (CFR) - Confirmed & Probable Cases,10/7/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,10/7/2014,0,,0,0,19,0,226,0,261,0,0,0,0,0,0,0,16
Total contacts listed,10/7/2014,734,,20,334,930,69,8976,88,16168,840,78,31,807,17,222,113,2909
Currently under follow-up,10/7/2014,449,,20,93,224,7,3159,61,7134,451,63,3,432,17,222,66,1867
Contacts seen,10/7/2014,0,,0,93,224,0,3138,45,6398,451,0,0,392,0,222,0,1833
Contacts who completed 21 day follow-up,10/7/2014,0,,0,0,0,0,325,27,386,0,0,0,0,0,0,0,34
Contacts lost to follow-up,10/7/2014,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
New admissions,10/7/2014,0,,0,0,0,0,28,0,40,0,0,0,3,0,0,0,9
Total no. currently in Treatment Units,10/7/2014,,,0,9,17,0,224,0,265,0,0,0,15,0,0,0,0
Total discharges,10/7/2014,0,,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0
Cumulative admission/isolation,10/7/2014,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,10/7/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative cases among HCW,10/7/2014,6,,0,3,26,0,84,0,199,10,0,2,23,0,3,0,42
Newly Reported deaths in HCW,10/7/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,10/7/2014,5,,0,1,7,0,33,0,93,8,0,1,18,0,0,0,20
New Case/s (Suspected),10/7/2014,0,,0,1,5,1,15,1,24,0,0,0,0,0,0,0,1
New Case/s (Probable),10/7/2014,0,,0,3,2,1,8,2,30,6,0,0,3,0,1,0,4
New case/s (confirmed),10/7/2014,0,,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Total suspected cases,10/7/2014,7,,3,39,249,9,637,2,1259,34,7,12,57,3,9,3,188
Total probable cases,10/7/2014,47,,0,48,88,11,697,2,1872,140,3,4,458,5,11,3,355
Total confirmed cases,10/7/2014,33,,0,47,70,6,358,2,937,78,6,3,285,0,6,4,39
Total Number of Confirmed Cases of Sierra Leonean Nationality,10/7/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,10/7/2014,3,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Specimens collected,10/8/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,10/8/2014,,,,,,,,,,,,,,,,,
Total specimens tested,10/8/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,10/8/2014,0,,0,1,5,0,27,1,39,0,0,0,1,0,2,0,2
Total death/s in confirmed cases,10/8/2014,,,,,,,,,,,,,,,,,
Total death/s in probable cases,10/8/2014,,,,,,,,,,,,,,,,,
Total death/s in suspected cases,10/8/2014,,,,,,,,,,,,,,,,,
"Total death/s in confirmed, probable, suspected cases",10/8/2014,69,,2,40,153,17,7,2,2344,137,2,6,439,9,22,8,261
Case Fatality Rate (CFR) - Confirmed & Probable Cases,10/8/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,10/8/2014,48,,0,0,0,0,191,6,261,0,0,0,0,0,7,0,9
Total contacts listed,10/8/2014,782,,20,334,930,69,9167,88,16423,840,78,31,807,17,229,113,2918
Currently under follow-up,10/8/2014,470,,20,93,234,7,3128,67,7066,451,63,3,377,17,229,66,1841
Contacts seen,10/8/2014,468,,0,0,234,0,3111,52,4251,0,0,0,377,0,0,0,9
Contacts who completed 21 day follow-up,10/8/2014,216,,0,0,9,0,240,1,481,0,0,0,15,0,0,0,0
Contacts lost to follow-up,10/8/2014,0,,0,0,0,0,113,1,114,0,0,0,0,0,0,0,0
New admissions,10/8/2014,7,,0,0,6,0,49,0,78,0,0,0,2,0,0,0,14
Total no. currently in Treatment Units,10/8/2014,14,,0,0,21,0,410,0,459,0,0,0,14,0,0,0,0
Total discharges,10/8/2014,0,,0,0,2,0,86,0,88,0,0,0,0,0,0,0,0
Cumulative admission/isolation,10/8/2014,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,10/8/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative cases among HCW,10/8/2014,6,,0,3,26,0,84,0,199,10,0,2,23,0,3,0,42
Newly Reported deaths in HCW,10/8/2014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumulative deaths among HCW,10/8/2014,5,,0,1,7,0,33,0,93,8,0,1,18,0,0,0,20
New Case/s (Suspected),10/8/2014,5,,0,0,11,0,21,0,42,0,0,0,0,0,1,0,4
New Case/s (Probable),10/8/2014,0,,0,0,0,0,4,0,10,0,0,0,2,0,0,0,4
New case/s (confirmed),10/8/2014,2,,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
Total suspected cases,10/8/2014,,,,,,,,,,,,,,,,,
Total probable cases,10/8/2014,,,,,,,,,,,,,,,,,
Total confirmed cases,10/8/2014,,,,,,,0,,,0,0,0,,,,0,
Total Number of Confirmed Cases of Sierra Leonean Nationality,10/8/2014,0,,0,0,0,0,1,0,13,0,0,0,11,0,1,0,1
Total Number of Confirmed Cases of Guinean Nationality,10/8/2014,3,,0,0,0,0,,0,4,,,,0,0,0,,0
Cumulative (confirmed + probable + suspects),10/8/2014,94,,3,134,418,26,1717,6,4122,252,16,19,802,8,27,10,590
Specimens collected,10/9/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,10/9/2014,,,,,,,,,,,,,,,,,
Total specimens tested,10/9/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,10/9/2014,0,,0,0,5,0,30,0,45,0,1,0,2,0,0,0,7
Total death/s in confirmed cases,10/9/2014,,,,,,,,,,,3,,,,,8,
Total death/s in probable cases,10/9/2014,,,,,,,,,,,,,,,,,
Total death/s in suspected cases,10/9/2014,,,,,,,,,,,,,,,,,
"Total death/s in confirmed, probable, suspected cases",10/9/2014,69,,2,40,158,17,1207,2,2389,137,,6,441,9,22,,268
Case Fatality Rate (CFR) - Confirmed & Probable Cases,10/9/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,10/9/2014,0,,0,0,25,0,233,0,371,0,0,0,59,0,0,0,54
Total contacts listed,10/9/2014,782,,20,334,955,69,9399,88,16793,840,78,31,866,17,229,113,2972
Currently under follow-up,10/9/2014,470,,20,93,259,7,3308,67,7384,451,63,3,436,17,229,66,1895
Contacts seen,10/9/2014,468,,0,0,259,0,3267,52,6220,0,0,0,436,0,0,0,1738
Contacts who completed 21 day follow-up,10/9/2014,216,,0,0,0,0,246,1,622,0,0,0,2,0,0,0,157
Contacts lost to follow-up,10/9/2014,0,,0,0,0,0,1,1,17,0,0,0,0,0,0,0,15
New admissions,10/9/2014,0,,0,2,5,0,82,0,99,,,,6,0,0,,4
Total no. currently in Treatment Units,10/9/2014,14,,0,6,17,0,449,0,511,,,,20,0,0,,4
Total discharges,10/9/2014,0,,0,0,8,0,0,0,10,,,,0,0,0,,2
Cumulative admission/isolation,10/9/2014,,,,,,,,,,,,,,,,,
Newly Reported Cases in HCW,10/9/2014,0,,0,0,0,0,3,0,3,,,,0,0,0,,0
Cumulative cases among HCW,10/9/2014,6,,0,3,26,0,87,0,202,,,,23,0,3,,42
Newly Reported deaths in HCW,10/9/2014,0,,0,0,0,0,1,0,0,,,,0,0,0,,0
Cumulative deaths among HCW,10/9/2014,5,,0,1,7,0,34,0,94,,,,18,0,0,,20
New Case/s (Suspected),10/9/2014,0,,0,0,9,0,15,0,30,0,1,0,0,0,0,0,5
New Case/s (Probable),10/9/2014,0,,0,0,1,0,16,0,27,0,0,0,6,0,0,0,4
New case/s (confirmed),10/9/2014,0,,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0
Total suspected cases,10/9/2014,,,,,,,,,,,,,,,,,
Total probable cases,10/9/2014,,,,,,,,,,,,,,,,,
Total confirmed cases,10/9/2014,,,,,,,,,,,,,,,,,
Total Number of Confirmed Cases of Sierra Leonean Nationality,10/9/2014,0,,0,0,0,0,0,0,13,0,0,0,11,0,1,0,1
